SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.024,2,10,protocol,7.5,400,0,0,286,0,0,0,0,0,0,0,0,0,0,0,157288
3,2.048,4,10,protocol,7.5,400,0,0,358,0,0,0,0,0,0,0,0,0,0,0,145914
4,2.048,4,10,protocol,7.5,400,0,0,334,0,0,0,0,0,0,0,0,0,0,0,107838
5,2.048,4,10,protocol,7.5,400,0,0,348,0,0,0,0,0,0,0,0,0,0,0,105071
6,2.048,4,10,protocol,7.5,400,0,0,282,0,0,0,0,0,0,0,0,0,0,0,103429
7,2.048,4,10,protocol,7.5,400,0,0,262,0,0,0,0,0,0,0,0,0,0,0,101838
8,2.048,4,10,protocol,7.5,400,0,0,232,0,0,0,0,0,0,0,0,0,0,0,79813.5
9,13.824,27,10,protocol,7.5,400,0,0,232,0,0,0,0,0,0,0,0,0,0,0,29126
